in s,C1 in V
-6.583147E-02,-1.0608292E+01
-6.583046E-02,-1.0606766E+01
-6.582946E-02,-1.0602188E+01
-6.582845E-02,-1.0606003E+01
-6.582744E-02,-1.0606766E+01
-6.582643E-02,-1.0612869E+01
-6.582542E-02,-1.0609055E+01
-6.582442E-02,-1.0604477E+01
-6.582341E-02,-1.0608292E+01
-6.582240E-02,-1.0620499E+01
-6.582139E-02,-1.0612869E+01
-6.582038E-02,-1.0607529E+01
-6.581938E-02,-1.0606766E+01
-6.581837E-02,-1.0609055E+01
-6.581736E-02,-1.0614395E+01
-6.581635E-02,-1.0610580E+01
-6.581534E-02,-1.0615921E+01
-6.581434E-02,-1.0610580E+01
-6.581333E-02,-1.0617447E+01
-6.581232E-02,-1.0615921E+01
-6.581131E-02,-1.0609055E+01
-6.581030E-02,-1.0604477E+01
-6.580930E-02,-1.0606003E+01
-6.580829E-02,-1.0610580E+01
-6.580728E-02,-1.0614395E+01
-6.580627E-02,-1.0616684E+01
-6.580526E-02,-1.0612106E+01
-6.580426E-02,-1.0609818E+01
-6.580325E-02,-1.0608292E+01
-6.580224E-02,-1.0606766E+01
-6.580123E-02,-1.0606003E+01
-6.580022E-02,-1.0615921E+01
-6.579922E-02,-1.0612869E+01
-6.579821E-02,-1.0612106E+01
-6.579720E-02,-1.0602188E+01
-6.579619E-02,-1.0617447E+01
-6.579518E-02,-1.0624313E+01
-6.579418E-02,-1.0628128E+01
-6.579317E-02,-1.0618973E+01
-6.579216E-02,-1.0615158E+01
-6.579115E-02,-1.0634232E+01
-6.579014E-02,-1.0634995E+01
-6.578914E-02,-1.0644913E+01
-6.578813E-02,-1.0632706E+01
-6.578712E-02,-1.0625076E+01
-6.578611E-02,-1.0629654E+01
-6.578510E-02,-1.0635757E+01
-6.578410E-02,-1.0636520E+01
-6.578309E-02,-1.0641098E+01
-6.578208E-02,-1.0620499E+01
-6.578107E-02,-1.0632706E+01
-6.578006E-02,-1.0628891E+01
-6.577906E-02,-1.0638046E+01
-6.577805E-02,-1.0637283E+01
-6.577704E-02,-1.0629654E+01
-6.577603E-02,-1.0635757E+01
-6.577502E-02,-1.0643387E+01
-6.577402E-02,-1.0649490E+01
-6.577301E-02,-1.0647964E+01
-6.577200E-02,-1.0641861E+01
-6.577099E-02,-1.0633469E+01
-6.576998E-02,-1.0632706E+01
-6.576898E-02,-1.0631180E+01
-6.576797E-02,-1.0636520E+01
-6.576696E-02,-1.0638809E+01
-6.576595E-02,-1.0631943E+01
-6.576494E-02,-1.0636520E+01
-6.576394E-02,-1.0641098E+01
-6.576293E-02,-1.0645676E+01
-6.576192E-02,-1.0649490E+01
-6.576091E-02,-1.0645676E+01
-6.575990E-02,-1.0651779E+01
-6.575890E-02,-1.0644913E+01
-6.575789E-02,-1.0640335E+01
-6.575688E-02,-1.0646439E+01
-6.575587E-02,-1.0649490E+01
-6.575486E-02,-1.0651779E+01
-6.575386E-02,-1.0648727E+01
-6.575285E-02,-1.0644150E+01
-6.575184E-02,-1.0649490E+01
-6.575083E-02,-1.0647964E+01
-6.574982E-02,-1.0645676E+01
-6.574882E-02,-1.0647202E+01
-6.574781E-02,-1.0645676E+01
-6.574680E-02,-1.0649490E+01
-6.574579E-02,-1.0650253E+01
-6.574478E-02,-1.0653305E+01
-6.574378E-02,-1.0645676E+01
-6.574277E-02,-1.0642624E+01
-6.574176E-02,-1.0657120E+01
-6.574075E-02,-1.0650253E+01
-6.573974E-02,-1.0638046E+01
-6.573874E-02,-1.0647964E+01
-6.573773E-02,-1.0651016E+01
-6.573672E-02,-1.0647202E+01
-6.573571E-02,-1.0651779E+01
-6.573470E-02,-1.0654831E+01
-6.573370E-02,-1.0653305E+01
-6.573269E-02,-1.0653305E+01
-6.573168E-02,-1.0648727E+01
-6.573067E-02,-1.0657883E+01
-6.572966E-02,-1.0653305E+01
-6.572866E-02,-1.0654068E+01
-6.572765E-02,-1.0652542E+01
-6.572664E-02,-1.0658646E+01
-6.572563E-02,-1.0654068E+01
-6.572462E-02,-1.0663986E+01
-6.572362E-02,-1.0654831E+01
-6.572261E-02,-1.0661697E+01
-6.572160E-02,-1.0659409E+01
-6.572059E-02,-1.0657883E+01
-6.571958E-02,-1.0660172E+01
-6.571858E-02,-1.0653305E+01
-6.571757E-02,-1.0650253E+01
-6.571656E-02,-1.0657883E+01
-6.571555E-02,-1.0653305E+01
-6.571454E-02,-1.0654831E+01
-6.571354E-02,-1.0651016E+01
-6.571253E-02,-1.0646439E+01
-6.571152E-02,-1.0647202E+01
-6.571051E-02,-1.0651779E+01
-6.570950E-02,-1.0655594E+01
-6.570850E-02,-1.0657883E+01
-6.570749E-02,-1.0651779E+01
-6.570648E-02,-1.0650253E+01
-6.570547E-02,-1.0650253E+01
-6.570446E-02,-1.0644913E+01
-6.570346E-02,-1.0652542E+01
-6.570245E-02,-1.0646439E+01
-6.570144E-02,-1.0645676E+01
-6.570043E-02,-1.0638046E+01
-6.569942E-02,-1.0634232E+01
-6.569842E-02,-1.0649490E+01
-6.569741E-02,-1.0647964E+01
-6.569640E-02,-1.0654831E+01
-6.569539E-02,-1.0641098E+01
-6.569438E-02,-1.0647964E+01
-6.569338E-02,-1.0647964E+01
-6.569237E-02,-1.0657883E+01
-6.569136E-02,-1.0662460E+01
-6.569035E-02,-1.0647964E+01
-6.568934E-02,-1.0643387E+01
-6.568834E-02,-1.0654068E+01
-6.568733E-02,-1.0655594E+01
-6.568632E-02,-1.0656357E+01
-6.568531E-02,-1.0652542E+01
-6.568430E-02,-1.0638809E+01
-6.568330E-02,-1.0653305E+01
-6.568229E-02,-1.0648727E+01
-6.568128E-02,-1.0654831E+01
-6.568027E-02,-1.0651779E+01
-6.567926E-02,-1.0644150E+01
