in s,C1 in V
-4.5602570E+00,4.331070E+00
-4.5601874E+00,4.331223E+00
-4.5601179E+00,4.331375E+00
-4.5600483E+00,4.330765E+00
-4.5599787E+00,4.329697E+00
-4.5599091E+00,4.328629E+00
-4.5598395E+00,4.327560E+00
-4.5597699E+00,4.328018E+00
-4.5597004E+00,4.327866E+00
-4.5596308E+00,4.327103E+00
-4.5595612E+00,4.327103E+00
-4.5594916E+00,4.325729E+00
-4.5594220E+00,4.326187E+00
-4.5593524E+00,4.325119E+00
-4.5592828E+00,4.325424E+00
-4.5592133E+00,4.324356E+00
-4.5591437E+00,4.324356E+00
-4.5590741E+00,4.324356E+00
-4.5590045E+00,4.323441E+00
-4.5589349E+00,4.322220E+00
-4.5588653E+00,4.321609E+00
-4.5587958E+00,4.321457E+00
-4.5587262E+00,4.321304E+00
-4.5586566E+00,4.320694E+00
-4.5585870E+00,4.320541E+00
-4.5585174E+00,4.318863E+00
-4.5584478E+00,4.318253E+00
-4.5583783E+00,4.317795E+00
-4.5583087E+00,4.318100E+00
-4.5582391E+00,4.317184E+00
-4.5581695E+00,4.315659E+00
-4.5580999E+00,4.314438E+00
-4.5580303E+00,4.314285E+00
-4.5579608E+00,4.315659E+00
-4.5578912E+00,4.315048E+00
-4.5578216E+00,4.314133E+00
-4.5577520E+00,4.313675E+00
-4.5576824E+00,4.313065E+00
-4.5576128E+00,4.313370E+00
-4.5575432E+00,4.312454E+00
-4.5574737E+00,4.310928E+00
-4.5574041E+00,4.310013E+00
-4.5573345E+00,4.309555E+00
-4.5572649E+00,4.308334E+00
-4.5571953E+00,4.307266E+00
-4.5571257E+00,4.306808E+00
-4.5570562E+00,4.305435E+00
-4.5569866E+00,4.306046E+00
-4.5569170E+00,4.306808E+00
-4.5568474E+00,4.305130E+00
-4.5567778E+00,4.304367E+00
-4.5567082E+00,4.302841E+00
-4.5566387E+00,4.302078E+00
-4.5565691E+00,4.302078E+00
-4.5564995E+00,4.301468E+00
-4.5564299E+00,4.301010E+00
-4.5563603E+00,4.300400E+00
-4.5562907E+00,4.299637E+00
-4.5562212E+00,4.299789E+00
-4.5561516E+00,4.299484E+00
-4.5560820E+00,4.299179E+00
-4.5560124E+00,4.298264E+00
-4.5559428E+00,4.297806E+00
-4.5558732E+00,4.297501E+00
-4.5558036E+00,4.296280E+00
-4.5557341E+00,4.296280E+00
-4.5556645E+00,4.296127E+00
-4.5555949E+00,4.296432E+00
-4.5555253E+00,4.294754E+00
-4.5554557E+00,4.293533E+00
-4.5553861E+00,4.292618E+00
-4.5553166E+00,4.293533E+00
-4.5552470E+00,4.293076E+00
-4.5551774E+00,4.292770E+00
-4.5551078E+00,4.291550E+00
-4.5550382E+00,4.290176E+00
-4.5549686E+00,4.289719E+00
-4.5548991E+00,4.288193E+00
-4.5548295E+00,4.287430E+00
-4.5547599E+00,4.287125E+00
-4.5546903E+00,4.286819E+00
-4.5546207E+00,4.287125E+00
-4.5545511E+00,4.285904E+00
-4.5544816E+00,4.285599E+00
-4.5544120E+00,4.284988E+00
-4.5543424E+00,4.284683E+00
-4.5542728E+00,4.284378E+00
-4.5542032E+00,4.284073E+00
-4.5541336E+00,4.283615E+00
-4.5540640E+00,4.282394E+00
-4.5539945E+00,4.281937E+00
-4.5539249E+00,4.281479E+00
-4.5538553E+00,4.280258E+00
-4.5537857E+00,4.279800E+00
-4.5537161E+00,4.280411E+00
-4.5536465E+00,4.279495E+00
-4.5535770E+00,4.277512E+00
-4.5535074E+00,4.277206E+00
-4.5534378E+00,4.277054E+00
-4.5533682E+00,4.276901E+00
-4.5532986E+00,4.275223E+00
-4.5532290E+00,4.273849E+00
-4.5531595E+00,4.273239E+00
-4.5530899E+00,4.272934E+00
-4.5530203E+00,4.271866E+00
-4.5529507E+00,4.271408E+00
-4.5528811E+00,4.271408E+00
-4.5528115E+00,4.270340E+00
-4.5527420E+00,4.269272E+00
-4.5526724E+00,4.269730E+00
-4.5526028E+00,4.270035E+00
-4.5525332E+00,4.268967E+00
-4.5524636E+00,4.267441E+00
-4.5523940E+00,4.267288E+00
-4.5523244E+00,4.267136E+00
-4.5522549E+00,4.266983E+00
-4.5521853E+00,4.266068E+00
-4.5521157E+00,4.264389E+00
-4.5520461E+00,4.263626E+00
-4.5519765E+00,4.263168E+00
-4.5519069E+00,4.262711E+00
-4.5518374E+00,4.263016E+00
-4.5517678E+00,4.262100E+00
-4.5516982E+00,4.261032E+00
-4.5516286E+00,4.260880E+00
-4.5515590E+00,4.259506E+00
-4.5514894E+00,4.258591E+00
-4.5514199E+00,4.258286E+00
-4.5513503E+00,4.258591E+00
-4.5512807E+00,4.257828E+00
-4.5512111E+00,4.257065E+00
-4.5511415E+00,4.256302E+00
-4.5510719E+00,4.255234E+00
-4.5510024E+00,4.254929E+00
-4.5509328E+00,4.254318E+00
-4.5508632E+00,4.253403E+00
-4.5507936E+00,4.252182E+00
-4.5507240E+00,4.251419E+00
-4.5506544E+00,4.250961E+00
-4.5505848E+00,4.250809E+00
-4.5505153E+00,4.250351E+00
-4.5504457E+00,4.249741E+00
-4.5503761E+00,4.249588E+00
-4.5503065E+00,4.248672E+00
-4.5502369E+00,4.248520E+00
-4.5501673E+00,4.247757E+00
-4.5500978E+00,4.246994E+00
-4.5500282E+00,4.246536E+00
-4.5499586E+00,4.245468E+00
-4.5498890E+00,4.244553E+00
-4.5498194E+00,4.244095E+00
-4.5497498E+00,4.243942E+00
-4.5496803E+00,4.243484E+00
-4.5496107E+00,4.243332E+00
-4.5495411E+00,4.241959E+00
-4.5494715E+00,4.241653E+00
-4.5494019E+00,4.241806E+00
-4.5493323E+00,4.241501E+00
-4.5492628E+00,4.239975E+00
-4.5491932E+00,4.239822E+00
-4.5491236E+00,4.239212E+00
-4.5490540E+00,4.238907E+00
-4.5489844E+00,4.238754E+00
-4.5489148E+00,4.236923E+00
-4.5488452E+00,4.236923E+00
-4.5487757E+00,4.234940E+00
-4.5487061E+00,4.234634E+00
-4.5486365E+00,4.234482E+00
-4.5485669E+00,4.233414E+00
-4.5484973E+00,4.232803E+00
-4.5484277E+00,4.232040E+00
-4.5483582E+00,4.231430E+00
-4.5482886E+00,4.230362E+00
-4.5482190E+00,4.230820E+00
-4.5481494E+00,4.229752E+00
-4.5480798E+00,4.230057E+00
-4.5480102E+00,4.229141E+00
-4.5479407E+00,4.228378E+00
-4.5478711E+00,4.227463E+00
-4.5478015E+00,4.226852E+00
-4.5477319E+00,4.226242E+00
-4.5476623E+00,4.225784E+00
-4.5475927E+00,4.224258E+00
-4.5475232E+00,4.223648E+00
-4.5474536E+00,4.223343E+00
-4.5473840E+00,4.222580E+00
-4.5473144E+00,4.221970E+00
-4.5472448E+00,4.221207E+00
-4.5471752E+00,4.220596E+00
-4.5471056E+00,4.219833E+00
-4.5470361E+00,4.218765E+00
-4.5469665E+00,4.218155E+00
-4.5468969E+00,4.217392E+00
-4.5468273E+00,4.216629E+00
-4.5467577E+00,4.215714E+00
-4.5466881E+00,4.214798E+00
-4.5466186E+00,4.214035E+00
-4.5465490E+00,4.213272E+00
-4.5464794E+00,4.212814E+00
-4.5464098E+00,4.211899E+00
-4.5463402E+00,4.210831E+00
-4.5462706E+00,4.211441E+00
-4.5462011E+00,4.211441E+00
-4.5461315E+00,4.211288E+00
-4.5460619E+00,4.210220E+00
-4.5459923E+00,4.208694E+00
-4.5459227E+00,4.208237E+00
-4.5458531E+00,4.208237E+00
-4.5457836E+00,4.207779E+00
-4.5457140E+00,4.206253E+00
-4.5456444E+00,4.205643E+00
-4.5455748E+00,4.205795E+00
-4.5455052E+00,4.204269E+00
-4.5454356E+00,4.203201E+00
-4.5453660E+00,4.201981E+00
-4.5452965E+00,4.202133E+00
-4.5452269E+00,4.201675E+00
-4.5451573E+00,4.200302E+00
-4.5450877E+00,4.199539E+00
-4.5450181E+00,4.199539E+00
-4.5449485E+00,4.199539E+00
-4.5448790E+00,4.199234E+00
-4.5448094E+00,4.198318E+00
-4.5447398E+00,4.196793E+00
-4.5446702E+00,4.196335E+00
-4.5446006E+00,4.196182E+00
-4.5445310E+00,4.194656E+00
-4.5444615E+00,4.192673E+00
-4.5443919E+00,4.192673E+00
-4.5443223E+00,4.192368E+00
-4.5442527E+00,4.191299E+00
-4.5441831E+00,4.191605E+00
-4.5441135E+00,4.190842E+00
-4.5440440E+00,4.190536E+00
-4.5439744E+00,4.189316E+00
-4.5439048E+00,4.188248E+00
-4.5438352E+00,4.186874E+00
-4.5437656E+00,4.185043E+00
-4.5436960E+00,4.185959E+00
-4.5436264E+00,4.185806E+00
-4.5435569E+00,4.185196E+00
-4.5434873E+00,4.183212E+00
-4.5434177E+00,4.182144E+00
-4.5433481E+00,4.182297E+00
-4.5432785E+00,4.182449E+00
-4.5432089E+00,4.181534E+00
-4.5431394E+00,4.180771E+00
-4.5430698E+00,4.178940E+00
-4.5430002E+00,4.178482E+00
-4.5429306E+00,4.178024E+00
-4.5428610E+00,4.176804E+00
-4.5427914E+00,4.175583E+00
-4.5427219E+00,4.175430E+00
-4.5426523E+00,4.175583E+00
-4.5425827E+00,4.175125E+00
-4.5425131E+00,4.174515E+00
-4.5424435E+00,4.173447E+00
-4.5423739E+00,4.172684E+00
-4.5423044E+00,4.171463E+00
-4.5422348E+00,4.170547E+00
