in s,C1 in V
-4.5479407E+00,1.203018E+00
-4.5478711E+00,1.184555E+00
-4.5478015E+00,1.166397E+00
-4.5477319E+00,1.147018E+00
-4.5476623E+00,1.127640E+00
-4.5475927E+00,1.109482E+00
-4.5475232E+00,1.090866E+00
-4.5474536E+00,1.072250E+00
-4.5473840E+00,1.054092E+00
-4.5473144E+00,1.036087E+00
-4.5472448E+00,1.017929E+00
-4.5471752E+00,1.000076E+00
-4.5471056E+00,9.820709E-01
-4.5470361E+00,9.642181E-01
-4.5469665E+00,9.462128E-01
-4.5468969E+00,9.297333E-01
-4.5468273E+00,9.134064E-01
-4.5467577E+00,8.983002E-01
-4.5466881E+00,8.818207E-01
-4.5466186E+00,8.674774E-01
-4.5465490E+00,8.531342E-01
-4.5464794E+00,8.389435E-01
-4.5464098E+00,8.244476E-01
-4.5463402E+00,8.108673E-01
-4.5462706E+00,7.994232E-01
-4.5462011E+00,7.876740E-01
-4.5461315E+00,7.771454E-01
-4.5460619E+00,7.676849E-01
-4.5459923E+00,7.586823E-01
-4.5459227E+00,7.501373E-01
-4.5458531E+00,7.422028E-01
-4.5457836E+00,7.365570E-01
-4.5457140E+00,7.298431E-01
-4.5456444E+00,7.241974E-01
-4.5455748E+00,7.197723E-01
-4.5455052E+00,7.167206E-01
-4.5454356E+00,7.150421E-01
-4.5453660E+00,7.130585E-01
-4.5452965E+00,7.115326E-01
-4.5452269E+00,7.113800E-01
-4.5451573E+00,7.112274E-01
-4.5450877E+00,7.133636E-01
-4.5450181E+00,7.154999E-01
-4.5449485E+00,7.190094E-01
-4.5448790E+00,7.226715E-01
-4.5448094E+00,7.272491E-01
-4.5447398E+00,7.330475E-01
-4.5446702E+00,7.386932E-01
-4.5446006E+00,7.455597E-01
-4.5445310E+00,7.530365E-01
-4.5444615E+00,7.615814E-01
-4.5443919E+00,7.707367E-01
-4.5443223E+00,7.817230E-01
-4.5442527E+00,7.924042E-01
-4.5441831E+00,8.049164E-01
-4.5441135E+00,8.172760E-01
-4.5440440E+00,8.313141E-01
-4.5439744E+00,8.451996E-01
-4.5439048E+00,8.590851E-01
-4.5438352E+00,8.732758E-01
-4.5437656E+00,8.885345E-01
-4.5436960E+00,9.050140E-01
-4.5436264E+00,9.208832E-01
-4.5435569E+00,9.372101E-01
-4.5434873E+00,9.542999E-01
-4.5434177E+00,9.716949E-01
-4.5433481E+00,9.903107E-01
-4.5432785E+00,1.008163E+00
-4.5432089E+00,1.025864E+00
-4.5431394E+00,1.042801E+00
-4.5430698E+00,1.061111E+00
-4.5430002E+00,1.079727E+00
-4.5429306E+00,1.097580E+00
-4.5428610E+00,1.115585E+00
-4.5427914E+00,1.133591E+00
-4.5427219E+00,1.151749E+00
-4.5426523E+00,1.170822E+00
-4.5425827E+00,1.188370E+00
-4.5425131E+00,1.207291E+00
-4.5424435E+00,1.225449E+00
-4.5423739E+00,1.244980E+00
-4.5423044E+00,1.263748E+00
-4.5422348E+00,1.281448E+00
-4.5421652E+00,1.299301E+00
-4.5420956E+00,1.317307E+00
-4.5420260E+00,1.333939E+00
-4.5419564E+00,1.350723E+00
-4.5418868E+00,1.367813E+00
-4.5418173E+00,1.385971E+00
-4.5417477E+00,1.400925E+00
-4.5416781E+00,1.416946E+00
-4.5416085E+00,1.431137E+00
-4.5415389E+00,1.446091E+00
-4.5414693E+00,1.459976E+00
-4.5413998E+00,1.473709E+00
-4.5413302E+00,1.486221E+00
-4.5412606E+00,1.497513E+00
-4.5411910E+00,1.508041E+00
-4.5411214E+00,1.517654E+00
-4.5410518E+00,1.528183E+00
