in s,C2 in V
-4.5493323E+00,4.285446E+00
-4.5492628E+00,4.286514E+00
-4.5491932E+00,4.288193E+00
-4.5491236E+00,4.289108E+00
-4.5490540E+00,4.289108E+00
-4.5489844E+00,4.289413E+00
-4.5489148E+00,4.288498E+00
-4.5488452E+00,4.288956E+00
-4.5487757E+00,4.289566E+00
-4.5487061E+00,4.288345E+00
-4.5486365E+00,4.288651E+00
-4.5485669E+00,4.287888E+00
-4.5484973E+00,4.287888E+00
-4.5484277E+00,4.286819E+00
-4.5483582E+00,4.284988E+00
-4.5482886E+00,4.285599E+00
-4.5482190E+00,4.285904E+00
-4.5481494E+00,4.285294E+00
-4.5480798E+00,4.286362E+00
-4.5480102E+00,4.286057E+00
-4.5479407E+00,4.287582E+00
-4.5478711E+00,4.289719E+00
-4.5478015E+00,4.291702E+00
-4.5477319E+00,4.290787E+00
-4.5476623E+00,4.288498E+00
-4.5475927E+00,4.286362E+00
-4.5475232E+00,4.284836E+00
-4.5474536E+00,4.284073E+00
-4.5473840E+00,4.282394E+00
-4.5473144E+00,4.282242E+00
-4.5472448E+00,4.283463E+00
-4.5471752E+00,4.285599E+00
-4.5471056E+00,4.286362E+00
-4.5470361E+00,4.287125E+00
-4.5469665E+00,4.287430E+00
-4.5468969E+00,4.287430E+00
-4.5468273E+00,4.288498E+00
-4.5467577E+00,4.287735E+00
-4.5466881E+00,4.287277E+00
-4.5466186E+00,4.287430E+00
-4.5465490E+00,4.287888E+00
-4.5464794E+00,4.289566E+00
-4.5464098E+00,4.289719E+00
-4.5463402E+00,4.288193E+00
-4.5462706E+00,4.286667E+00
-4.5462011E+00,4.287125E+00
-4.5461315E+00,4.286209E+00
-4.5460619E+00,4.286209E+00
-4.5459923E+00,4.286819E+00
-4.5459227E+00,4.286667E+00
-4.5458531E+00,4.287735E+00
-4.5457836E+00,4.289108E+00
-4.5457140E+00,4.289871E+00
-4.5456444E+00,4.290634E+00
-4.5455748E+00,4.292007E+00
